no,month,area,year,price,loc
108,2,전용면적 60㎡초과 85㎡이하,2020,4418,대구
109,2,전용면적 85㎡초과 102㎡이하,2020,4060,대구
110,2,전용면적 102㎡초과,2020,5117,대구
111,2,전체,2020,3843,광주
112,2,전용면적 60㎡이하,2020,3926,광주
113,2,전용면적 60㎡초과 85㎡이하,2020,3861,광주
114,2,전용면적 85㎡초과 102㎡이하,2020,,광주
115,2,전용면적 102㎡초과,2020,4310,광주
116,2,전체,2020,3632,대전
117,2,전용면적 60㎡이하,2020,3534,대전
118,2,전용면적 60㎡초과 85㎡이하,2020,3567,대전
119,2,전용면적 85㎡초과 102㎡이하,2020,,대전
120,2,전용면적 102㎡초과,2020,4500,대전
121,2,전체,2020,3143,울산
122,2,전용면적 60㎡이하,2020,3399,울산
123,2,전용면적 60㎡초과 85㎡이하,2020,3114,울산
124,2,전용면적 85㎡초과 102㎡이하,2020,,울산
125,2,전용면적 102㎡초과,2020,,울산
126,2,전체,2020,3458,세종
127,2,전용면적 60㎡이하,2020,,세종
128,2,전용면적 60㎡초과 85㎡이하,2020,3395,세종
129,2,전용면적 85㎡초과 102㎡이하,2020,3510,세종
130,2,전용면적 102㎡초과,2020,3931,세종
131,2,전체,2020,2523,강원
132,2,전용면적 60㎡이하,2020,2560,강원
133,2,전용면적 60㎡초과 85㎡이하,2020,2501,강원
134,2,전용면적 85㎡초과 102㎡이하,2020,3329,강원
135,2,전용면적 102㎡초과,2020,3906,강원
136,2,전체,2020,2395,충북
137,2,전용면적 60㎡이하,2020,2420,충북
138,2,전용면적 60㎡초과 85㎡이하,2020,2384,충북
139,2,전용면적 85㎡초과 102㎡이하,2020,2634,충북
140,2,전용면적 102㎡초과,2020,2532,충북
141,2,전체,2020,2604,충남
142,2,전용면적 60㎡이하,2020,2389,충남
143,2,전용면적 60㎡초과 85㎡이하,2020,2622,충남
144,2,전용면적 85㎡초과 102㎡이하,2020,3201,충남
145,2,전용면적 102㎡초과,2020,2835,충남
146,2,전체,2020,2468,전북
147,2,전용면적 60㎡이하,2020,2526,전북
148,2,전용면적 60㎡초과 85㎡이하,2020,2458,전북
149,2,전용면적 85㎡초과 102㎡이하,2020,2764,전북
150,2,전용면적 102㎡초과,2020,2667,전북
151,2,전체,2020,2506,전남
152,2,전용면적 60㎡이하,2020,2529,전남
153,2,전용면적 60㎡초과 85㎡이하,2020,2507,전남
154,2,전용면적 85㎡초과 102㎡이하,2020,,전남
155,2,전용면적 102㎡초과,2020,3053,전남
156,2,전체,2020,2555,경북
157,2,전용면적 60㎡이하,2020,2578,경북
158,2,전용면적 60㎡초과 85㎡이하,2020,2549,경북
159,2,전용면적 85㎡초과 102㎡이하,2020,,경북
160,2,전용면적 102㎡초과,2020,2756,경북
161,2,전체,2020,3063,경남
162,2,전용면적 60㎡이하,2020,2780,경남
163,2,전용면적 60㎡초과 85㎡이하,2020,3065,경남
164,2,전용면적 85㎡초과 102㎡이하,2020,3247,경남
165,2,전용면적 102㎡초과,2020,,경남
166,2,전체,2020,3955,제주
167,2,전용면적 60㎡이하,2020,4039,제주
168,2,전용면적 60㎡초과 85㎡이하,2020,3962,제주
169,2,전용면적 85㎡초과 102㎡이하,2020,,제주
170,2,전용면적 102㎡초과,2020,3601,제주
171,3,전체,2020,8029,서울
172,3,전용면적 60㎡이하,2020,8533,서울
173,3,전용면적 60㎡초과 85㎡이하,2020,8160,서울
174,3,전용면적 85㎡초과 102㎡이하,2020,13835,서울
175,3,전용면적 102㎡초과,2020,9035,서울
176,3,전체,2020,4260,인천
177,3,전용면적 60㎡이하,2020,4057,인천
178,3,전용면적 60㎡초과 85㎡이하,2020,4293,인천
179,3,전용면적 85㎡초과 102㎡이하,2020,3936,인천
180,3,전용면적 102㎡초과,2020,4972,인천
181,3,전체,2020,4476,경기
182,3,전용면적 60㎡이하,2020,4893,경기
183,3,전용면적 60㎡초과 85㎡이하,2020,4376,경기
184,3,전용면적 85㎡초과 102㎡이하,2020,5447,경기
185,3,전용면적 102㎡초과,2020,5145,경기
186,3,전체,2020,3950,부산
187,3,전용면적 60㎡이하,2020,3789,부산
188,3,전용면적 60㎡초과 85㎡이하,2020,3965,부산
189,3,전용면적 85㎡초과 102㎡이하,2020,4401,부산
190,3,전용면적 102㎡초과,2020,4322,부산
191,3,전체,2020,4498,대구
192,3,전용면적 60㎡이하,2020,4291,대구
193,3,전용면적 60㎡초과 85㎡이하,2020,4497,대구
194,3,전용면적 85㎡초과 102㎡이하,2020,4060,대구
195,3,전용면적 102㎡초과,2020,5117,대구
196,3,전체,2020,3843,광주
197,3,전용면적 60㎡이하,2020,3926,광주
198,3,전용면적 60㎡초과 85㎡이하,2020,3861,광주
199,3,전용면적 85㎡초과 102㎡이하,2020,,광주
200,3,전용면적 102㎡초과,2020,4310,광주
201,3,전체,2020,3402,대전
202,3,전용면적 60㎡이하,2020,3534,대전
203,3,전용면적 60㎡초과 85㎡이하,2020,3395,대전
