bno,bname,bstart,bend,bregister
59,용인 기흥구갈3 택지개발지구 주차장용지 재공급 공고,2018-10-05,2018-12-31,2018-10-05
60,다산신도시 1단계 면적정산 안내,2018-09-19,2018-12-31,2018-09-19
61,화성동탄(2) 문화복합·근린상업·주차장 용지공급 공고 관련 수정사항 게시,2018-09-03,2018-12-31,2018-09-03
62,다산신도시 1단계 준공관련 면적정산 등 사전안내,2018-08-23,2019-05-23,2018-08-23
63,화성동탄(2) 문화복합·근린상업·주차장 용지공급 공고,2018-08-23,2019-08-23,2018-08-23
64,남양주 다산신도시 진건지구 점포겸용 단독주택용지 개찰 결과,2018-08-01,2019-08-01,2018-08-01
65,남양주 다산신도시 진건지구 점포겸용 단독주택용지 공급공고,2018-07-19,2018-12-31,2018-07-19
66,다산신도시 지금지구 자족용지 추첨결과,2018-06-20,2018-12-31,2018-06-20
67,다산신도시 자족용지 공급공고,2018-06-04,2018-12-31,2018-06-04
68,다산신도시 실수요자 점포겸용 단독주택용지 공급일정(변경) 안내,2018-05-25,2018-12-31,2018-05-25
69,화성동탄(2) 연립주택용지 B13 공급공고,2018-05-23,2018-12-31,2018-05-23
70,다산신도시(지금) 자족용지 사전공급안내,2018-05-15,2018-12-31,2018-05-15
71,다산신도시 주차장용지 및 주유소용지(2018.4.6일자 공고분) 개찰 결과,2018-04-17,2018-12-31,2018-04-17
72,화성동탄(2) 근린상업 주차장용지 공급 공고,2018-04-09,2018-12-31,2018-04-09
73,다산신도시 주차장용지 및 주유소용지 분양 팜플렛,2018-04-06,2018-12-31,2018-04-06
74,다산신도시 주차장용지 및 주유소용지 공급 공고,2018-04-06,2018-12-31,2018-04-06
75,다산신도시(지금) 블록형단독주택용지 수의계약 종료안내,2018-03-30,2024-12-31,2018-03-30
76,다산 주차장용지 사전공급 안내,2018-03-20,2018-12-31,2018-03-20
77,다산신도시 근린생활시설용지 개찰 결과(2018.3.8일 공고분),2018-03-20,2018-12-31,2018-03-20
78,다산신도시 상업/주유소용지 공급공고,2018-02-28,2024-12-31,2018-02-28
79,다산신도시 상업/주유소용지 팜플렛,2018-03-02,2024-12-31,2018-03-02
80,다산신도시 자족용지/블록형단독주택용지/종교용지 추첨결과,2018-02-22,2024-12-31,2018-02-22
81,다산 지금지구 단독주택용지 일부토지의 토지사용 가능시기 변경 안내,2018-02-12,2018-12-31,2018-02-13
82,다산신도시(진건 및 지금지구) 근린생활시설 사전공급안내,2018-02-12,2018-12-31,2018-02-12
83,다산신도시 자족용지/블록형단독주택용지/종교용지 공급공고(정정),2018-02-12,2024-12-31,2018-02-12
84,다산신도시 자족용지/블록형단독주택용지 추첨결과,2017-12-06,2017-12-31,2017-12-06
85,다산신도시 자족용지/블록형단독주택용지 추첨시간 변경안내,2017-12-05,2017-12-31,2017-12-05
86,다산신도시 자족용지/블록형단독주택용지 공급공고,2017-11-24,2017-12-31,2017-11-24
87,"다산신도시 상업/업무/근생/주차장용지 개찰결과(""17.11.10.공고분)",2017-11-23,2017-12-31,2017-11-23
88,"동탄(2)신도시 근린생활시설, 주차장용지 공급 공고",2017-11-20,2017-12-31,2017-11-20
89,고양관광문화단지(한류월드) 숙박시설용지 공급 공고,2017-08-16,2017-08-29,2017-08-16
90,다산신도시 명의변경 관련 안내문,2017-08-30,2018-12-31,2017-08-29
91,동탄(2)신도시 일반상업용지 공급공고,2017-11-09,2017-12-31,2017-11-09
92,다산신도시 이주자택지(2차) 추첨결과,2017-11-14,2017-11-21,2017-11-14
93,하남풍산 국민임대주택 예비입주자 모집,2017-09-25,2017-12-31,2017-09-25
94,과천지식정보타운 지식기반산업용지 공급공고,2017-10-30,2017-12-31,2017-10-30
95,다산진건 이주자택지 공급공고(2차),2017-11-03,2017-12-31,2017-11-03
96,다산신도시 분양토지 관련 지구계획 변경사항 알림,2017-10-18,2017-12-31,2017-10-18
97,다산신도시 단독주택용지 건축허가용 토지사용승낙서 발급안내,2017-10-18,2017-12-31,2017-10-18
98,다산신도시 착공용 토지사용승낙서 발급안내,2017-07-25,2019-07-25,2017-07-25
99,동탄(2)신도시 단독주택(주거전용)  단독주택용지 공급 공고,2017-07-14,2017-08-01,2017-07-14
100,화성동탄(2) 단독주택용지[점포겸용] 1순위 부적격자 미계약용지 2순위 공급 안내,2017-04-28,2017-12-31,2017-06-09
101,고양관광문화단지 생활대책용지 공급 공고,2017-05-26,2017-12-31,2017-05-26
102,"다산진건 근린생활시설/주차장용지 개찰결과(""17.4.13.공고분)",2017-04-25,2017-12-31,2017-04-25
103,다산신도시 인허가용 토지사용승낙서 발급안내,2017-04-17,2017-12-31,2017-04-17
104,다산진건 근린생활시설/주차장용지 공급공고,2017-04-13,2017-12-31,2017-04-13
105,"다산진건 상업/업무/주차장용지 개찰결과(""17.3.30.공고분)",2017-04-11,2017-12-31,2017-04-11
106,다산진건 상업용지 지구단위계획 관련안내,2017-03-30,2017-12-31,2017-03-30
107,다산진건 상업/업무/주차장용지 공급공고,2017-03-30,2017-12-31,2017-03-30
108,다산진건 자족용지 추첨결과,2017-03-28,2017-12-31,2017-03-28
109,다산진건 자족용지 공급공고,2017-03-17,2017-12-31,2017-03-17
110,다산진건 상업/주차장용지 개찰결과,2017-02-28,2017-12-31,2017-02-28
